timestamp,open,high,low,close
2021-10-13,94.486,94.496,93.962,93.968
2021-10-14,93.971,94.045,93.711,93.935
2021-10-15,93.994,94.019,93.798,93.912
2021-10-18,93.919,94.126,93.815,93.911
2021-10-19,93.885,93.886,93.445,93.739
2021-10-20,93.743,93.826,93.473,93.548
2021-10-21,93.552,93.735,93.428,93.703
2021-10-22,93.685,93.73,93.465,93.548
2021-10-25,93.601,93.904,93.413,93.76
2021-10-26,93.775,93.959,93.631,93.892
2021-10-27,93.881,93.943,93.618,93.809
2021-10-28,93.832,93.914,93.204,93.282
2021-10-29,93.286,94.235,93.246,94.054
2021-11-01,94.132,94.249,93.795,93.809
2021-11-02,93.862,94.071,93.755,94.033
2021-11-03,94.042,94.151,93.74,93.807
2021-11-04,93.766,94.405,93.76,94.255
2021-11-05,94.257,94.575,94.111,94.151
2021-11-08,94.149,94.309,93.915,93.968
2021-11-09,94.018,94.086,93.801,93.885
2021-11-10,93.916,94.807,93.89,94.802
2021-11-11,94.807,95.131,94.767,95.1
2021-11-12,95.146,95.196,94.923,95.034
2021-11-15,95.037,95.523,94.892,95.505
2021-11-16,95.414,95.885,95.325,95.884
2021-11-17,95.838,96.194,95.653,95.699
2021-11-18,95.719,95.773,95.443,95.455
2021-11-19,95.512,96.165,95.503,95.94
2021-11-22,96.024,96.47,95.966,96.416
2021-11-23,96.389,96.524,96.224,96.398
2021-11-24,96.463,96.854,96.35,96.724
2021-11-25,96.679,96.716,96.571,96.682
2021-11-26,96.64,96.69,95.92,95.998
2021-11-29,96.141,96.358,96.055,96.178
2021-11-30,96.117,96.571,95.456,95.789
2021-12-01,95.862,96.054,95.584,95.985
2021-12-02,95.992,96.099,95.749,96.054
2021-12-03,96.066,96.379,95.879,96.089
2021-12-06,96.213,96.377,96.065,96.244
2021-12-07,96.254,96.537,96.119,96.256
2021-12-08,96.216,96.329,95.789,95.819
2021-12-09,95.941,96.298,95.914,96.198
2021-12-10,96.193,96.383,95.921,95.936
