type,is_pyramid,units,entry_date,exit_date,entry_price,exit_price,pnl_points,mae_points,atr_at_exit,holding_hours,exit_reason,trade_id
Long,False,1.0,2025-07-22 18:00:00,2025-07-23 10:00:00,3386.18,3421.01,34.11,-0.27,15.72,24,Signal Exit,796
Long,False,1.0,2025-07-23 18:00:00,2025-07-23 22:00:00,3431.18,3413.42,-17.98,-25.81,16.76,0,Signal Exit,797
Long,False,1.0,2025-07-24 10:00:00,2025-07-24 14:00:00,3387.58,3379.27,-8.53,-13.25,17.5,0,Signal Exit,798
Short,False,1.0,2025-07-28 06:00:00,2025-08-01 22:00:00,3329.34,3342.5,-15.03,-25.45,21.0,96,Stop Loss Exit,799
Long,False,1.0,2025-08-04 06:00:00,2025-08-04 10:00:00,3364.55,3352.24,-12.53,-19.6,20.09,0,Signal Exit,800
Long,False,1.0,2025-08-04 14:00:00,2025-08-05 02:00:00,3357.63,3374.1,15.75,-5.99,18.95,24,Signal Exit,801
Long,False,1.0,2025-08-05 10:00:00,2025-08-05 14:00:00,3378.95,3373.97,-5.2,-11.34,18.13,0,Signal Exit,802
Long,False,1.0,2025-08-05 22:00:00,2025-08-06 10:00:00,3373.94,3375.9,1.24,-3.54,15.49,24,Signal Exit,803
Long,False,1.0,2025-08-06 22:00:00,2025-08-07 06:00:00,3371.73,3370.56,-1.89,-4.64,13.2,24,Signal Exit,804
Long,False,1.0,2025-08-07 10:00:00,2025-08-07 14:00:00,3382.27,3375.56,-6.93,-10.76,14.02,0,Signal Exit,805
Long,False,1.0,2025-08-07 18:00:00,2025-08-08 10:00:00,3376.83,3383.55,6.0,-5.15,15.25,24,Signal Exit,806
Long,True,1.0,2025-08-08 06:00:00,2025-08-08 10:00:00,3401.26,3383.55,-17.93,-20.07,15.25,0,Signal Exit,807
Long,False,1.0,2025-08-08 14:00:00,2025-08-08 22:00:00,3392.16,3400.31,7.93,-11.72,17.37,0,Signal Exit,808
Long,True,0.8999999999999999,2025-08-08 18:00:00,2025-08-08 22:00:00,3400.55,3400.31,-0.41,-18.1,17.37,0,Signal Exit,809
Long,False,1.0,2025-08-11 06:00:00,2025-08-11 10:00:00,3403.61,3377.46,-26.37,-36.17,20.22,0,Signal Exit,810
Short,False,1.0,2025-08-12 06:00:00,2025-08-18 14:00:00,3342.83,3349.31,-7.6,-31.99,14.05,144,Signal Exit,811
Short,False,1.0,2025-08-18 18:00:00,2025-08-20 22:00:00,3348.02,3345.0,2.5,-3.28,11.85,48,Signal Exit,812
Short,False,1.0,2025-08-21 10:00:00,2025-08-21 18:00:00,3342.78,3340.83,1.73,-2.19,11.89,0,Signal Exit,813
